Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Ethnicity,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Gender
65660439003ccf0c2cac2de0,5b2ffddaa8327d0001ffec6d,APPROVED,2023-11-28T15:16:09.621000Z,2023-11-28T15:21:42.327000Z,2023-11-28T16:09:48.507000Z,2023-11-28T15:21:42.753153Z,333.0,CBCT4R5Q,199,"Latvian, English",Latino/Hispanic,27,Male,White,Latvia,Latvia,Latvia,Latvian,No,Other,
656604444cf0213a67b17ab6,612f85f03f9d73eab39f8d58,APPROVED,2023-11-28T15:16:43.841000Z,2023-11-28T15:23:57.612000Z,2023-11-28T16:09:51.257000Z,2023-11-28T15:23:59.028103Z,434.0,CBCT4R5Q,216,English,African,26,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time,
6566045c34fa8e3635cdd6ea,5e5c993cd0394c474f7cc502,APPROVED,2023-11-28T15:16:52.323000Z,2023-11-28T15:22:50.300000Z,2023-11-28T16:09:53.217000Z,2023-11-28T15:22:51.112357Z,358.0,CBCT4R5Q,826,"Spanish, English",Latino/Hispanic,27,Male,Other,Mexico,Mexico,Mexico,Spanish,Yes,Full-Time,
6566047ff5d0f6241ae5b242,6151cfe3ba49dd3ad62708ee,APPROVED,2023-11-28T15:17:49.169000Z,2023-11-28T15:22:43.538000Z,2023-11-28T16:10:03.848000Z,2023-11-28T15:22:44.036606Z,295.0,CBCT4R5Q,398,"Spanish, English",Latino/Hispanic,37,Male,Mixed,Mexico,Mexico,Mexico,Spanish,DATA_EXPIRED,DATA_EXPIRED,
6566048165759caefbbd1c66,5e9820b9c63c530008087a8c,APPROVED,2023-11-28T15:17:21.575000Z,2023-11-28T15:24:17.465000Z,2023-11-28T16:09:57.561000Z,2023-11-28T15:24:18.106098Z,416.0,CBCT4R5Q,540,"English, German, Spanish",White/Caucasian,36,Male,White,Spain,Spain,Spain,Spanish,DATA_EXPIRED,DATA_EXPIRED,
656604e06ab3b2361c238718,5d20e3fcab5a10001e1afa54,APPROVED,2023-11-28T15:19:11.425000Z,2023-11-28T15:29:38.114000Z,2023-11-28T16:10:11.775000Z,2023-11-28T15:29:38.714861Z,627.0,CBCT4R5Q,160,"English, Spanish, Galician, Portuguese",Latino/Hispanic,43,Male,White,Spain,Spain,Spain,Spanish,No,Full-Time,
65660504717952b01d2ec6c8,5d811e6ab395350018786d78,APPROVED,2023-11-28T15:19:53.530000Z,2023-11-28T15:29:46.152000Z,2023-11-28T16:10:18.685000Z,2023-11-28T15:29:46.907746Z,593.0,CBCT4R5Q,701,"English, Greek",Other (please feel free to let us know your ethnicity via email),38,Male,White,Greece,Greece,Greece,Greek,Yes,Full-Time,
6566052bf8618cdb71f427ce,5e58fa19fc38d6104f798878,APPROVED,2023-11-28T15:20:11.195000Z,2023-11-28T15:29:22.468000Z,2023-11-28T16:10:23.727000Z,2023-11-28T15:29:22.928065Z,552.0,CBCT4R5Q,570,"English, Polish",White/Caucasian,28,Male,White,Poland,Poland,Poland,Polish,Yes,Other,
6566052e8ba4e15670920206,60d4613121b754739be92895,APPROVED,2023-11-28T15:20:14.425000Z,2023-11-28T15:25:50.677000Z,2023-11-28T16:10:28.464000Z,2023-11-28T15:25:51.855911Z,337.0,CBCT4R5Q,272,English,African,30,Male,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED,
6566053b667921169a39f038,5f80de286ae5b21801a82f30,APPROVED,2023-11-28T15:20:27.042000Z,2023-11-28T15:28:46.812000Z,2023-11-28T16:10:38.205000Z,2023-11-28T15:28:47.529584Z,500.0,CBCT4R5Q,185,"Polish, English",Middle Eastern,26,Male,White,Poland,Poland,Poland,Polish,Yes,Full-Time,
