Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Ethnicity,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65d5f7c39e42627a85e268e2,5e73746e686c0c2c978392e1,APPROVED,Not Applicable,2024-02-21T13:17:24.221000Z,2024-02-21T13:36:53.596000Z,2024-02-22T17:11:19.061000Z,2024-02-21T13:36:54.047116Z,1170.0,CBCT4R5Q,317,"English, French, Spanish",White/Caucasian,51,Male,White,Spain,Spain,Spain,Spanish,DATA_EXPIRED,DATA_EXPIRED
65d5f7e8f17feaf052774563,5ac6080e9534ba0001c74b6e,APPROVED,Not Applicable,2024-02-21T13:17:36.229000Z,2024-02-21T13:26:11.104000Z,2024-02-22T17:11:22.181000Z,2024-02-21T13:26:11.624075Z,515.0,CBCT4R5Q,909,"English, Spanish, Italian",White/Caucasian,57,Male,White,Italy,Italy,Italy,Italian,No,Full-Time
65d5f7edb944b0c9bc6423a1,5f1f52f09c3159141e330cbe,APPROVED,Not Applicable,2024-02-21T13:17:33.218000Z,2024-02-21T13:25:31.007000Z,2024-02-22T17:11:20.786000Z,2024-02-21T13:25:31.515818Z,478.0,CBCT4R5Q,335,"English, Greek",Middle Eastern,47,Male,White,Greece,Greece,Greece,Greek,No,Full-Time
65d5f84f4e843f3ca932a87b,5b870e225b6a290001ec53ff,APPROVED,Not Applicable,2024-02-21T13:19:31.762000Z,2024-02-21T13:23:32.356000Z,2024-02-22T17:11:24.973000Z,2024-02-21T13:23:32.845328Z,241.0,CBCT4R5Q,274,"English, Polish, German",Middle Eastern,49,Male,White,Poland,Poland,Poland,Polish,No,DATA_EXPIRED
65d5f85a4deaae95dc71bee5,647e27e47db9e4a980fc5291,APPROVED,Not Applicable,2024-02-21T13:19:22.052000Z,2024-02-21T13:30:17.971000Z,2024-02-22T17:11:23.535000Z,2024-02-21T13:30:18.601168Z,656.0,CBCT4R5Q,168,"Italian, English",White/Caucasian,51,Male,White,Italy,Italy,Italy,Italian,No,DATA_EXPIRED
65d5f8fb5b52c5ba241373ef,5bb6faf4f6d0bd00019e12f4,APPROVED,Not Applicable,2024-02-21T13:22:39.654000Z,2024-02-21T13:28:55.002000Z,2024-02-22T17:11:36.099000Z,2024-02-21T13:28:55.638201Z,376.0,CBCT4R5Q,1058,English,White/Caucasian,50,Male,White,Canada,Australia,Australia,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65d5f91ae08a809f6a4c3910,5af2d425347a4a000177a00c,APPROVED,Not Applicable,2024-02-21T13:22:34.723000Z,2024-02-21T13:37:35.987000Z,2024-02-22T17:11:34.425000Z,2024-02-21T13:37:36.573620Z,902.0,CBCT4R5Q,1041,"English, Greek",White/Caucasian,56,Male,White,United States,Greece,United States,English,No,Part-Time
65d5f92d82cc790917bec947,63d6585340a67f5671ef6b7f,APPROVED,Not Applicable,2024-02-21T13:23:15.714000Z,2024-02-21T13:34:54.664000Z,2024-02-22T17:11:40.493000Z,2024-02-21T13:34:55.193333Z,699.0,CBCT4R5Q,773,English,White/Caucasian,60,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
65d5f93019483efeae343403,5d430fdf871f1700017b2a81,APPROVED,Not Applicable,2024-02-21T13:22:56.421000Z,2024-02-21T13:30:55.256000Z,2024-02-22T17:11:38.899000Z,2024-02-21T13:30:55.810915Z,479.0,CBCT4R5Q,1021,"Catalan, English, Spanish",White/Caucasian,52,Male,White,Spain,Spain,Spain,Catalan,No,Full-Time
65d5f948118794b8311a373d,5f966b181caf595331d1685e,APPROVED,Not Applicable,2024-02-21T13:23:23.401000Z,2024-02-21T13:46:28.902000Z,2024-02-22T17:11:42.277000Z,2024-02-21T13:46:29.652622Z,1386.0,CBCT4R5Q,744,"English, Polish",White/Caucasian,47,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
65d5f9bfa4d6d424e023c152,5b9f7f9eaa0e0e0001573bd2,APPROVED,Not Applicable,2024-02-21T13:25:25.040000Z,2024-02-21T13:31:30.992000Z,2024-02-22T17:11:53.524000Z,2024-02-21T13:31:31.668780Z,366.0,CBCT4R5Q,975,"Danish, English, German, Polish, Swedish",White/Caucasian,49,Male,White,Poland,Poland,Germany,German,No,Full-Time
65d5f9ea9009eb7ffebfce23,5fe33a4cbf9ae4f929bad4b4,APPROVED,Not Applicable,2024-02-21T13:26:02.691000Z,2024-02-21T13:33:27.162000Z,2024-02-22T17:11:55.711000Z,2024-02-21T13:33:27.685734Z,445.0,CBCT4R5Q,1424,English,White/Caucasian,54,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
65d5fa3308213ab1b8338c82,5b9b7d4608c0fc0001472a30,APPROVED,Not Applicable,2024-02-21T13:27:48.042000Z,2024-02-21T13:36:29.765000Z,2024-02-22T17:12:38.259000Z,2024-02-21T13:36:30.246305Z,522.0,CBCT4R5Q,488,English,White/Caucasian,53,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65d5fa39a317b333c9623b5e,614ef6f52acce89d16fc4f24,APPROVED,Not Applicable,2024-02-21T13:27:21.153000Z,2024-02-21T13:39:23.664000Z,2024-02-22T17:12:39.947000Z,2024-02-21T13:39:24.246800Z,723.0,CBCT4R5Q,815,"Galician, Spanish, English",White/Caucasian,53,Male,White,Spain,Spain,Spain,Spanish,No,Full-Time
65d5fa50751d22ca1080ed12,5caddec9facb4c0016ed3652,APPROVED,Not Applicable,2024-02-21T13:28:04.103000Z,2024-02-21T13:36:33.352000Z,2024-02-22T17:12:36.642000Z,2024-02-21T13:36:33.881498Z,510.0,CBCT4R5Q,866,"Polish, English",Middle Eastern,49,Male,White,Poland,Poland,Poland,Polish,No,Other
65d5fb15170b7e9d2c230705,58462977d2be990001174ae3,APPROVED,Not Applicable,2024-02-21T13:31:01.186000Z,2024-02-21T14:05:57.783000Z,2024-02-22T17:12:33.608000Z,2024-02-21T14:05:58.592617Z,2097.0,CBCT4R5Q,2188,English,White/Caucasian,57,Male,White,United States,United States,United States,English,Yes,Full-Time
65d5fb178cc3d78dd8bc881c,5c83dfef72a7ef00107828b5,APPROVED,Not Applicable,2024-02-21T13:31:29.032000Z,2024-02-21T13:43:51.308000Z,2024-02-22T17:12:19.083000Z,2024-02-21T13:43:51.870613Z,743.0,CBCT4R5Q,429,"Estonian, English",White/Caucasian,52,Male,White,Estonia,Estonia,Estonia,Estonian,No,Part-Time
65d5fb1c39180479529e0803,63ecee1635eb8a06dda727c4,APPROVED,Not Applicable,2024-02-21T13:31:12.261000Z,2024-02-21T13:44:59.331000Z,2024-02-22T17:12:28.478000Z,2024-02-21T13:44:59.860224Z,828.0,CBCT4R5Q,198,"English, Turkish",White/Caucasian,62,Male,White,Turkey,United Kingdom,United Kingdom,Turkish,No,DATA_EXPIRED
65d5fb23bdb739772b285f9e,652435bfb2930ba6d0c29bcf,APPROVED,Not Applicable,2024-02-21T13:31:27.115000Z,2024-02-21T13:38:19.817000Z,2024-02-22T17:12:21.582000Z,2024-02-21T13:38:20.566439Z,413.0,CBCT4R5Q,133,"English, Turkish",White/Caucasian,51,Male,White,Turkey,Canada,Turkey,Turkish,No,Full-Time
65d5fb298cc3d78dd8bc8820,60ec70718246abeababcc114,APPROVED,Not Applicable,2024-02-21T13:31:45.512000Z,2024-02-21T13:41:40.517000Z,2024-02-22T17:12:16.943000Z,2024-02-21T13:41:41.101534Z,596.0,CBCT4R5Q,483,English,White/Caucasian,53,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65d5fcac7c2875e7206726f7,5ca67299253fd60016d25449,APPROVED,Not Applicable,2024-02-21T13:38:12.852000Z,2024-02-21T13:46:30.572000Z,2024-02-22T17:12:03.329000Z,2024-02-21T13:46:31.074774Z,498.0,CBCT4R5Q,1527,English,White/Caucasian,64,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other
65d5fcb0b4f5f5c37843ad13,5ea16cb48366db01843ff38b,APPROVED,Not Applicable,2024-02-21T13:37:52.376000Z,2024-02-21T13:47:19.360000Z,2024-02-22T17:12:07.958000Z,2024-02-21T13:47:19.847325Z,567.0,CBCT4R5Q,2202,"English, Scots",White/Caucasian,56,Male,White,United Kingdom,United Kingdom,United Kingdom,Scots,No,Full-Time
