Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Ethnicity,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65649617bd3269a43116f025,6162c86f719b06671ba3abc4,APPROVED,2023-11-27T13:13:59.119000Z,2023-11-27T13:32:41.068000Z,2023-11-27T15:40:37.728000Z,2023-11-27T13:32:41.538493Z,1122.0,CBCT4R5Q,166,English,African,31,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
65649666a7acc7506921625f,5fad28d8cf22483c1433ca0f,APPROVED,2023-11-27T13:15:30.089000Z,2023-11-27T13:20:40.933000Z,2023-11-27T15:40:43.993000Z,2023-11-27T13:20:41.985587Z,311.0,CBCT4R5Q,134,English,South East Asian,30,Male,Asian,South Africa,South Africa,South Africa,English,Yes,Full-Time
6564968e4c2ec17a6582b774,60fff1bb5655b461b15f8a8c,APPROVED,2023-11-27T13:16:28.931000Z,2023-11-27T13:29:18.629000Z,2023-11-27T15:40:56.547000Z,2023-11-27T13:29:19.109364Z,770.0,CBCT4R5Q,135,English,African,30,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
656496a0629c6718d34a1980,5b9335109665440001c74437,APPROVED,2023-11-27T13:16:16.388000Z,2023-11-27T13:21:23.050000Z,2023-11-27T15:40:53.129000Z,2023-11-27T13:21:23.482951Z,307.0,CBCT4R5Q,271,"English, Portuguese, Spanish",White/Caucasian,29,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
656496ddd324b63f2804eb40,5865dd647fbbcd00013973b8,APPROVED,2023-11-27T13:17:17.506000Z,2023-11-27T13:36:40.848000Z,2023-11-27T15:41:05.290000Z,2023-11-27T13:36:41.532764Z,1164.0,CBCT4R5Q,857,"English, Portuguese, Spanish",White/Caucasian,28,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Part-Time
656496e3ee95833c47e74c45,63d80b77167c4c6b33563dd0,APPROVED,2023-11-27T13:17:26.309000Z,2023-11-27T13:26:26.536000Z,2023-11-27T15:41:07.121000Z,2023-11-27T13:26:26.967740Z,541.0,CBCT4R5Q,360,"English, Punjabi",South East Asian,26,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
656496eb91af435b4fb25226,60f85b92ad978566ec6e8878,APPROVED,2023-11-27T13:17:31.961000Z,2023-11-27T13:27:18.398000Z,2023-11-27T15:41:09.857000Z,2023-11-27T13:27:18.846463Z,587.0,CBCT4R5Q,147,English,African,30,Male,Black,South Africa,South Africa,South Africa,English,No,Unemployed (and job seeking)
656496f0c984bb8b0f18632f,60e46e73e4c4216e7dcbe325,APPROVED,2023-11-27T13:17:41.958000Z,2023-11-27T13:27:06.490000Z,2023-11-27T15:41:11.572000Z,2023-11-27T13:27:07.227757Z,565.0,CBCT4R5Q,329,English,African,29,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
656496fca9c5c0fcac0d34ef,5d1e501e755c59001709a785,APPROVED,2023-11-27T13:17:48.023000Z,2023-11-27T13:22:57.853000Z,2023-11-27T15:41:13.611000Z,2023-11-27T13:22:58.398293Z,310.0,CBCT4R5Q,328,"English, Portuguese",White/Caucasian,33,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Part-Time
65649703f00cc3b940cd227e,605563e772e44013a0772597,APPROVED,2023-11-27T13:18:00.797000Z,2023-11-27T13:49:19.497000Z,2023-11-27T15:41:28.808000Z,2023-11-27T13:49:20.165862Z,1879.0,CBCT4R5Q,484,"English, Spanish",Latino/Hispanic,42,Male,White,"Venezuela, Bolivarian Republic of",Chile,Chile,Spanish,No,Full-Time
