Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Ethnicity,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65d37b5a58baefcd2435e6b5,590741365905400001ef09ec,APPROVED,Not Applicable,2024-02-19T16:01:30.248000Z,2024-02-19T16:16:19.225000Z,2024-02-20T14:50:37.447000Z,2024-02-19T16:16:19.873334Z,889.0,CBCT4R5Q,1026,"English, Italian",White/Caucasian,50,Male,White,Italy,Italy,Italy,Italian,DATA_EXPIRED,DATA_EXPIRED
65d37bce064562ffa0ae0158,5b9f72f400815d000103226b,APPROVED,Not Applicable,2024-02-19T16:03:26.094000Z,2024-02-19T16:09:45.447000Z,2024-02-20T14:50:36.144000Z,2024-02-19T16:09:46.072444Z,380.0,CBCT4R5Q,312,"English, French",White/Caucasian,47,Male,White,United Kingdom,Germany,United Kingdom,English,No,Full-Time
65d37bda269b960f80b0e1a5,60ba9c576bd84378a2161570,APPROVED,Not Applicable,2024-02-19T16:04:02.143000Z,2024-02-19T16:15:50.219000Z,2024-02-20T14:50:33.520000Z,2024-02-19T16:15:50.736784Z,709.0,CBCT4R5Q,361,"Dutch, English, German, Norwegian",Other (please feel free to let us know your ethnicity via email),57,Male,White,Netherlands,Norway,Netherlands,Dutch,No,Part-Time
65d37bf7b1de6bfd78e94b79,639895ed5a76d04e4ea078ba,APPROVED,Not Applicable,2024-02-19T16:04:12.703000Z,2024-02-19T16:12:42.389000Z,2024-02-20T14:50:32.053000Z,2024-02-19T16:12:42.928169Z,510.0,CBCT4R5Q,324,English,White/Caucasian,61,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65d37c208894e5f73ec1004f,60dc31374fc70253e7a2d9e9,APPROVED,Not Applicable,2024-02-19T16:05:55.989000Z,2024-02-19T16:17:06.637000Z,2024-02-20T14:50:30.925000Z,2024-02-19T16:17:07.220518Z,671.0,CBCT4R5Q,522,"English, Afrikaans",White/Caucasian,47,Male,White,South Africa,South Africa,South Africa,English,No,Full-Time
65d37cb3a15072072a94be73,5f47792545ed0015620c5dea,APPROVED,Not Applicable,2024-02-19T16:07:15.635000Z,2024-02-19T16:16:33.593000Z,2024-02-20T14:50:25.210000Z,2024-02-19T16:16:34.143191Z,558.0,CBCT4R5Q,717,"English, Italian, Spanish",White/Caucasian,50,Male,White,Italy,Italy,Italy,Italian,No,Part-Time
65d37cc22882f742d8d99fb8,5bdc538e2b9e8d0001b9fbbf,APPROVED,Not Applicable,2024-02-19T16:07:30.330000Z,2024-02-19T16:11:44.236000Z,2024-02-20T14:50:22.902000Z,2024-02-19T16:11:44.838551Z,254.0,CBCT4R5Q,711,English,White/Caucasian,60,Male,White,United Kingdom,Australia,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65d37ce2bec9cc769eeed9e7,568d912de3ef9e000ca0da9e,APPROVED,Not Applicable,2024-02-19T16:08:02.030000Z,2024-02-19T16:15:03.345000Z,2024-02-20T14:50:21.370000Z,2024-02-19T16:15:03.817452Z,422.0,CBCT4R5Q,1528,English,White/Caucasian,47,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65d37cf1eb67b67ba64ceeb4,6103ecb1690fefebc124b869,APPROVED,Not Applicable,2024-02-19T16:09:26.909000Z,2024-02-19T16:23:59.505000Z,2024-02-20T14:50:16.378000Z,2024-02-19T16:24:00.002894Z,873.0,CBCT4R5Q,413,"Afrikaans, English",White/Caucasian,56,Male,White,South Africa,South Africa,South Africa,Afrikaans,No,Full-Time
65d37cfb1ea654020b2e985f,5da0d9012a275000127cf814,APPROVED,Not Applicable,2024-02-19T16:13:22.937000Z,2024-02-19T16:22:53.896000Z,2024-02-20T14:49:55.945000Z,2024-02-19T16:22:54.494810Z,571.0,CBCT4R5Q,1097,"English, Italian, German",White/Caucasian,50,Male,White,Italy,Italy,United States,Italian,Yes,Full-Time
65d37dc28fa42b4ed21e033c,5f4fa43ff313fc07706bb0fe,APPROVED,Not Applicable,2024-02-19T16:11:46.331000Z,2024-02-19T16:20:57.971000Z,2024-02-20T14:50:10.519000Z,2024-02-19T16:20:58.467198Z,552.0,CBCT4R5Q,648,"Finnish, English",White/Caucasian,47,Male,White,Finland,Finland,Finland,Finnish,No,Part-Time
65d37dc9361aa2ccd625907f,652680aaf06124cc46807a30,APPROVED,Not Applicable,2024-02-19T16:12:16.782000Z,2024-02-19T16:24:11.844000Z,2024-02-20T14:50:04.675000Z,2024-02-19T16:24:12.330064Z,716.0,CBCT4R5Q,148,"English, German",White/Caucasian,46,Male,White,Germany,Germany,Germany,German,No,Full-Time
65d37dcf186e79295daa8630,5a06f0579b760100013a6d8c,APPROVED,Not Applicable,2024-02-19T16:11:59.339000Z,2024-02-19T16:27:14.828000Z,2024-02-20T14:50:09.215000Z,2024-02-19T16:27:15.385640Z,916.0,CBCT4R5Q,1026,"English, Italian",White/Caucasian,49,Male,White,Italy,Italy,Italy,Italian,No,Full-Time
65d37dd3ef4a1d3e34214d4c,605c64f318cd6fa0d8fef2b0,APPROVED,Not Applicable,2024-02-19T16:12:03.107000Z,2024-02-19T16:53:51.306000Z,2024-02-20T14:50:08.050000Z,2024-02-19T16:53:51.838012Z,2509.0,CBCT4R5Q,496,"Spanish, English",Latino/Hispanic,46,Male,Other,Peru,Spain,Peru,Spanish,No,Full-Time
65d37ddab1de6bfd78e94bdd,654d03ec6d9ed752946923cd,APPROVED,Not Applicable,2024-02-19T16:12:15.866000Z,2024-02-19T16:50:22.508000Z,2024-02-20T14:50:06.123000Z,2024-02-19T16:50:51.988283Z,2287.0,CBCT4R5Q,179,English,White/Caucasian,50,Male,White,United States,United States,United States,English,No,Part-Time
65d37f4bff894133887c85d2,5f4b8f646cc10e7481333ee4,APPROVED,Not Applicable,2024-02-19T16:18:19.804000Z,2024-02-19T16:29:49.026000Z,2024-02-20T14:49:54.145000Z,2024-02-19T16:29:49.695236Z,690.0,CBCT4R5Q,656,"English, Dutch, Afrikaans, German",White/Caucasian,64,Male,White,Netherlands,South Africa,Netherlands,Dutch,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65d37f5171426da44cfc30b6,6011a4b308baec1050c17853,APPROVED,Not Applicable,2024-02-19T16:18:31.048000Z,2024-02-19T16:28:43.431000Z,2024-02-20T14:49:49.349000Z,2024-02-19T16:28:44.018635Z,613.0,CBCT4R5Q,733,"Portuguese, English",White/Caucasian,47,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
65d37f5785f5c458935b484a,5fd138cefc1d530c953d3320,APPROVED,Not Applicable,2024-02-19T16:18:31.748000Z,2024-02-19T16:23:38.942000Z,2024-02-20T14:49:46.876000Z,2024-02-19T16:23:39.469901Z,308.0,CBCT4R5Q,386,"English, French, Italian",White/Caucasian,62,Male,White,Italy,Italy,Italy,Italian,No,Part-Time
65d37f69aaab373e975b4785,6153ca3f0c560379c9ed7539,APPROVED,Not Applicable,2024-02-19T16:18:49.753000Z,2024-02-19T16:28:29.569000Z,2024-02-20T14:49:40.510000Z,2024-02-19T16:28:30.613143Z,580.0,CBCT4R5Q,645,"English, Greek, French",White/Caucasian,48,Male,White,Greece,Greece,Greece,Greek,No,Full-Time
