Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Ethnicity,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65e0bb48e3e4913ed8bafa78,5ea6afb9069d24039173f29e,APPROVED,Not Applicable,2024-02-29T17:13:44.691000Z,2024-02-29T17:27:37.461000Z,2024-03-01T09:13:30.510000Z,2024-02-29T17:27:38.092697Z,833.0,CBCT4R5Q,257,"English, German, Polish, Russian",White/Caucasian,26,Male,White,Poland,Poland,Poland,Polish,Yes,Unemployed (and job seeking)
65e0bb4dc6e4e8e1ba892b37,5aa1c9fe35237b000112df7d,APPROVED,Not Applicable,2024-02-29T17:13:49.547000Z,2024-02-29T17:24:48.278000Z,2024-03-01T09:13:31.944000Z,2024-02-29T17:24:48.770108Z,659.0,CBCT4R5Q,205,"English, Czech",White/Caucasian,32,Male,White,Czech Republic,Czech Republic,Czech Republic,Czech,DATA_EXPIRED,DATA_EXPIRED
65e0be8831eb5d79b468104f,5c4e82cd6aeb5d000101b178,APPROVED,Not Applicable,2024-02-29T17:27:48.685000Z,2024-02-29T17:48:36.080000Z,2024-03-01T09:13:39.292000Z,2024-02-29T17:48:36.671191Z,1248.0,CBCT4R5Q,1227,"Spanish, English",White/Caucasian,54,Male,Mixed,United States,Mexico,United States,English,DATA_EXPIRED,DATA_EXPIRED
65e0bed637a06cae0f1d14c2,5b9b3977cc5dd0000165ff0b,APPROVED,Not Applicable,2024-02-29T17:29:17.671000Z,2024-02-29T17:42:40.119000Z,2024-03-01T09:14:55.747000Z,2024-02-29T17:42:40.588011Z,803.0,CBCT4R5Q,1447,"English, French",Black/African American,48,Male,Black,United States,Canada,United States,English,DATA_EXPIRED,DATA_EXPIRED
65e0bf0df267c17772cb6527,6551f5f603b4710f1a943877,APPROVED,Not Applicable,2024-02-29T17:29:53.472000Z,2024-02-29T17:47:48.152000Z,2024-03-01T09:14:54.221000Z,2024-02-29T17:47:48.973296Z,1075.0,CBCT4R5Q,100,English,White/Caucasian,59,Male,White,Germany,Germany,Germany,German,No,Full-Time
65e0bfab6ff61588b2f8e941,5ed4f048f7b6fe02e0d9ffe3,APPROVED,Not Applicable,2024-02-29T17:32:36.155000Z,2024-02-29T17:40:31.511000Z,2024-03-01T09:14:48.998000Z,2024-02-29T17:40:32.060171Z,476.0,CBCT4R5Q,596,"English, French, German, Italian",Other (please feel free to let us know your ethnicity via email),62,Male,White,Italy,Italy,Italy,Italian,Yes,Full-Time
65e0c0666f69915641576db2,639762efb285e1d3b801de17,APPROVED,Not Applicable,2024-02-29T17:36:02.575000Z,2024-02-29T17:43:03.878000Z,2024-03-01T09:14:36.190000Z,2024-02-29T17:43:04.550848Z,422.0,CBCT4R5Q,129,English,White/Caucasian,52,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65e0c066e0fc30052576566a,5e0b1a07de8da635317f521f,APPROVED,Not Applicable,2024-02-29T17:35:34.695000Z,2024-02-29T17:47:14.735000Z,2024-03-01T09:14:41.002000Z,2024-02-29T17:47:15.274472Z,701.0,CBCT4R5Q,738,"English, Spanish",White/Caucasian,51,Male,White,United Kingdom,Spain,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65e0c06b40e777303c238f26,5bc380f91073f200016ca62d,APPROVED,Not Applicable,2024-02-29T17:35:42.354000Z,2024-02-29T17:44:31.542000Z,2024-03-01T09:14:38.688000Z,2024-02-29T17:44:32.790198Z,530.0,CBCT4R5Q,457,"Polish, English",Middle Eastern,54,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
65e0c09351d6e8e7d677271a,6478a3d537403513dc2b890f,APPROVED,Not Applicable,2024-02-29T17:36:31.083000Z,2024-02-29T17:46:09.847000Z,2024-03-01T09:14:35.097000Z,2024-02-29T17:46:10.703967Z,579.0,CBCT4R5Q,141,"Italian, English",White/Caucasian,56,Male,White,Italy,Italy,Italy,Italian,No,Full-Time
65e0c0b5249348fbca005c4d,645fb9c2ebb12bde48f78b28,APPROVED,Not Applicable,2024-02-29T17:37:02.331000Z,2024-02-29T17:45:35.114000Z,2024-03-01T09:14:31.876000Z,2024-02-29T17:45:35.683074Z,513.0,CBCT4R5Q,219,"English, Spanish",White/Caucasian,54,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65e0c0cc6f69915641576de6,5f4cc54c57230502cd1ec6a5,APPROVED,Not Applicable,2024-02-29T17:37:25.003000Z,2024-02-29T17:50:21.898000Z,2024-03-01T09:14:30.486000Z,2024-02-29T17:50:22.494070Z,777.0,CBCT4R5Q,1589,English,White/Caucasian,52,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65e0c113258375c6787663ad,5c1ed63210140800013f5ffb,APPROVED,Not Applicable,2024-02-29T17:38:30.762000Z,2024-02-29T17:46:00.792000Z,2024-03-01T09:14:27.556000Z,2024-02-29T17:46:01.339660Z,451.0,CBCT4R5Q,608,"Portuguese, English",White/Caucasian,47,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Part-Time
65e0c115f53c676cc4766531,5b831eef87d85f0001bb7156,APPROVED,Not Applicable,2024-02-29T17:38:34.177000Z,2024-02-29T17:43:45.958000Z,2024-03-01T09:14:26.078000Z,2024-02-29T17:43:46.540470Z,312.0,CBCT4R5Q,414,"English, Tagalog-Filipino",Other (please feel free to let us know your ethnicity via email),46,Male,Asian,Philippines,Canada,Philippines,Tagalog-Filipino,No,Part-Time
65e0c11f320f52ea8f7a2590,60c9c994c019ca2e1836e7d7,APPROVED,Not Applicable,2024-02-29T17:38:39.196000Z,2024-02-29T18:00:09.801000Z,2024-03-01T09:14:24.218000Z,2024-02-29T18:00:11.544681Z,1291.0,CBCT4R5Q,382,English,Black/African American,55,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
65e0c1314455a3a441f56135,5ef0eb65b242da18098cff78,APPROVED,Not Applicable,2024-02-29T17:39:06.789000Z,2024-02-29T17:51:29.225000Z,2024-03-01T09:14:21.565000Z,2024-02-29T17:51:30.060757Z,743.0,CBCT4R5Q,640,"English, Spanish",White Mexican,50,Male,Mixed,Canada,Mexico,Canada,English,No,DATA_EXPIRED
65e0c146785af02a5f071234,616ee0831e0f3d7e8e2a4cb1,APPROVED,Not Applicable,2024-02-29T17:39:18.764000Z,2024-02-29T17:52:44.765000Z,2024-03-01T09:14:18.775000Z,2024-02-29T17:52:45.357949Z,807.0,CBCT4R5Q,341,"Afrikaans, English",White/Caucasian,63,Male,White,South Africa,South Africa,South Africa,English,No,Other
65e0c1c78371556a9ec0d10b,56ab6fd869b24700065cbdbd,APPROVED,Not Applicable,2024-02-29T17:41:31.563000Z,2024-02-29T17:48:55.960000Z,2024-03-01T09:14:14.395000Z,2024-02-29T17:48:56.548463Z,445.0,CBCT4R5Q,2215,English,White/Caucasian,55,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
65e0c1cdc3ffdb68035209df,5de57a5b1017854f8a4efca3,APPROVED,Not Applicable,2024-02-29T17:41:33.568000Z,2024-02-29T17:47:31.836000Z,2024-03-01T09:14:13.037000Z,2024-02-29T17:47:32.518963Z,359.0,CBCT4R5Q,1199,English,White/Caucasian,54,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
65e0c1d9d6e1889eecf27bb4,5b490405bc06c90001f8d6a5,APPROVED,Not Applicable,2024-02-29T17:42:09.164000Z,2024-02-29T17:48:28.042000Z,2024-03-01T09:14:06.876000Z,2024-02-29T17:48:28.588630Z,379.0,CBCT4R5Q,1424,English,White/Caucasian,55,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
